english,spanish
This website uses cookies,Esta página web usa cookies
"We use cookies to personalise content and ads, to provide social media features and to analyse our traffic. We also share information about your use of our site with our social media, advertising and analytics partners who may combine it with other information that you’ve provided to them or that they’ve collected from your use of their services. By clicking ""ALLOW ALL COOKIES"" you consent to our Cookie Policy and Privacy Policy .","Las cookies de este sitio web se usan para personalizar el contenido y los anuncios, ofrecer funciones de redes sociales y analizar el tráfico. Además, compartimos información sobre el uso que haga del sitio web con nuestros partners de redes sociales, publicidad y análisis web, quienes pueden combinarla con otra información que les haya proporcionado o que hayan recopilado a partir del uso que haya hecho de sus servicios. Al hacer clic en ""PERMITIR TODAS LAS COOKIES"", acepta nuestra Política de cookies y privacidad ."
Necessary,Necesario
Preferences,Preferencias
Statistics,Estadística
Marketing,Marketing
Clean skin. Fewer breakouts. Instant glow.,"Una piel limpia, sana y radiante. Todos los días."
The mini-but-mighty must-have for young skin,La mejor forma de preparar la piel
"Get clear, glowing skin with minimum effort. LUNA™ 4 mini unclogs pores to stop breakouts, and tackles an oily complexion. It's clinically proven to remove 99% of dirt, oil and makeup residue.","Ha sido probado clínicamente que elimina el 99% de suciedad, grasa y restos de maquillaje. Ultra higiénico. Más suave que nunca. Este compacto y potente limpiador y masajeador facial inteligente ilumina tu piel de una forma sencilla y agradable. El cabezal de cepillado de 2 zonas es perfecto para todo tipo de pieles."
"When in a hurry, use 30-second Glow Boost mode for a quick refresh. Healthy skin is happy skin, and now every day can be a perfect skin day.","Fabricado con silicona resistente a las bacterias para disminuir las imperfecciones. Cuando tengas prisa, usa el modo Glow Boost de 30 segundos. Exfolia las células muertas de la piel, aumenta el drenaje linfático y la absorción de tus productos."
Real results,Resultados reales
Clinically proven,Probado clínicamente
"LUNATM 4 mini uses T-SonicTM pulsations and velvety-soft silicone touchpoints to remove impurities trapped deep within pores. It is clinically proven to remove 99% of dirt, oil and makeup residue, and is 35x more hygienic than brushes with nylon bristles.","LUNATM 4 mini combina pulsaciones T-SonicTM y suaves filamentos de silicona para eliminar las impurezas que obstruyen los poros. Ha sido probado clínicamente que elimina el 99% de suciedad, grasa y restos de maquillaje, y es 35 veces más higiénico que los filamentos de nylon."
Glow Boost,Glow Boost
Reveal a radiant complexion in just 30 seconds. Quick-press Glow Boost mode gets you flawless skin when there’s no time for a full routine. 100% of users report more radiant skin after use.,Revela una piel radiante en sólo 30 segundos. El modo Glow Boost limpia tu piel cuando no tengas tiempo para una rutina completa. El 100% de usuarios declaró sentir la piel más radiante después de cada uso.
Healthy complexion,Una piel sana
"T-SonicTM pulsations boost microcirculation - delivering nutrients to skin cells and eliminating toxins, while boosting lymphatic drainage. 100% of users report more refreshed skin, with 96% claiming skin looks healthier.","Las pulsaciones T-SonicTM potencian la microcirculación, canalizan los ingredientes sobre las células de la piel, eliminan las toxinas y aumentan el drenaje linfático. El 100% de usuarios declaró sentir la piel más fresca, y el 96% la piel más sana."
Flawless prep,Preparación perfecta
"Prep your skin for the most effective skincare routine. LUNATM 4 mini enables the active ingredients in your creams, serums, and masks to penetrate deep into skin, where they work the best. 98% of users report better absorption of skincare products.","Prepara la piel para una rutina de cuidado facial más eficaz. LUNATM 4 mini permite que los ingredientes activos de tus cremas, serums y mascarillas penetren profundamente en la piel. El 98% de usuarios sintió una mejor absorción de los productos de cuidado facial."
Reduce blemishes,Reduce las imperfecciones
"Made of ultra-hygienic silicone, LUNATM 4 mini is bacteria-resistant to reduce breakouts. It also gently exfoliates skin, removing dead skin cells to reveal fresh healthy skin below. 81% of users report reduced appearance of blemishes.","Con silicona ultra higiénica, LUNATM 4 mini es resistente a las bacterias para reducir las imperfecciones. Además, exfolia y elimina las células muertas de la piel para revelar una piel fresca y radiante. El 81% de usuarios declaró una reducción en la aparición de imperfecciones."
Upgraded design,Diseño mejorado
LUNATM 4 mini’s revolutionary silicone touchpoints are now 17% softer to glide even more effortlessly across the skin and preserve natural elasticity. It offers 12 intensities and lasts up to 500 uses per one USB charge. No replacement parts needed. Ever.,"Los revolucionarios filamentos de silicona de LUNATM 4 mini son ahora 17% más suaves para deslizarse aún mejor sobre la piel y preservar su elasticidad natural. Además, incluye 12 intensidades y cada carga USB alcanza para 500 usos. No necesita piezas de remplazo. Nunca."
Clinically proven,Clinically proven
"LUNATM 4 mini uses T-SonicTM pulsations and velvety-soft silicone touchpoints to remove impurities trapped deep within pores. It is clinically proven to remove 99% of dirt, oil and makeup residue, and is 35x more hygienic than brushes with nylon bristles.","LUNATM 4 mini uses T-SonicTM pulsations and velvety-soft silicone touchpoints to remove impurities trapped deep within pores. It is clinically proven to remove 99% of dirt, oil and makeup residue, and is 35x more hygienic than brushes with nylon bristles."
Glow Boost,Glow Boost
Reveal a radiant complexion in just 30 seconds. Quick-press Glow Boost mode gets you flawless skin when there’s no time for a full routine. 100% of users report more radiant skin after use.,Reveal a radiant complexion in just 30 seconds. Quick-press Glow Boost mode gets you flawless skin when there’s no time for a full routine. 100% of users report more radiant skin after use.
Healthy complexion,Healthy complexion
"T-SonicTM pulsations boost microcirculation - delivering nutrients to skin cells and eliminating toxins, while boosting lymphatic drainage. 100% of users report more refreshed skin, with 96% claiming skin looks healthier.","T-SonicTM pulsations boost microcirculation - delivering nutrients to skin cells and eliminating toxins, while boosting lymphatic drainage. 100% of users report more refreshed skin, with 96% claiming skin looks healthier."
Flawless prep,Flawless prep
"Prep your skin for the most effective skincare routine. LUNATM 4 mini enables the active ingredients in your creams, serums, and masks to penetrate deep into skin, where they work the best. 98% of users report better absorption of skincare products.","Prep your skin for the most effective skincare routine. LUNATM 4 mini enables the active ingredients in your creams, serums, and masks to penetrate deep into skin, where they work the best. 98% of users report better absorption of skincare products."
Reduce blemishes,Reduce blemishes
"Made of ultra-hygienic silicone, LUNATM 4 mini is bacteria-resistant to reduce breakouts. It also gently exfoliates skin, removing dead skin cells to reveal fresh healthy skin below. 81% of users report reduced appearance of blemishes.","Made of ultra-hygienic silicone, LUNATM 4 mini is bacteria-resistant to reduce breakouts. It also gently exfoliates skin, removing dead skin cells to reveal fresh healthy skin below. 81% of users report reduced appearance of blemishes."
Upgraded design,Upgraded design
LUNATM 4 mini’s revolutionary silicone touchpoints are now 17% softer to glide even more effortlessly across the skin and preserve natural elasticity. It offers 12 intensities and lasts up to 500 uses per one USB charge. No replacement parts needed. Ever.,LUNATM 4 mini’s revolutionary silicone touchpoints are now 17% softer to glide even more effortlessly across the skin and preserve natural elasticity. It offers 12 intensities and lasts up to 500 uses per one USB charge. No replacement parts needed. Ever.
Clinical-consumer results,Resultados clínicos
"Clinically proven to remove 99% of dirt, oil & makeup residue.","Clínicamente eliminan el 99% de suciedad, grasa y restos de maquillaje."
Clinically proven to remove,Clínicamente eliminan el
99%,99%
"of dirt, oil & makeup residue.","de suciedad, grasa y restos de maquillaje."
100% of users report more refreshed skin.,El 100% declaró sentir la piel más fresca.
100%,El 100%
of users report more refreshed skin.,declaró sentir la piel más fresca.
100% of users report more radiant skin.,El 100% declaró sentir la piel más fresca y radiante.
100%,El 100%
of users report more radiant skin.,declaró sentir la piel más fresca y radiante.
98% of users report skin feels smoother and softer.,El 98% déclarent que la peau est plus lisse et plus douce.
98%,El 98%
of users report skin feels smoother and softer.,déclarent que la peau est plus lisse et plus douce.
98% of users report better absorption of skincare products.,El 98% declaró sentir una mayor absorción de los productos de cuidado facial.
98%,El 98%
of users report better absorption of skincare products.,declaró sentir una mayor absorción de los productos de cuidado facial.
LUNA™ 4 mini,LUNA™ 4 mini
Choose color: Lavender,Elige el color: Lavender
