english,spanish
This website uses cookies,Esta página web usa cookies
"We use cookies to personalise content and ads, to provide social media features and to analyse our traffic. We also share information about your use of our site with our social media, advertising and analytics partners who may combine it with other information that you’ve provided to them or that they’ve collected from your use of their services. By clicking ""ALLOW ALL COOKIES"" you consent to our Cookie Policy and Privacy Policy .","Las cookies de este sitio web se usan para personalizar el contenido y los anuncios, ofrecer funciones de redes sociales y analizar el tráfico. Además, compartimos información sobre el uso que haga del sitio web con nuestros partners de redes sociales, publicidad y análisis web, quienes pueden combinarla con otra información que les haya proporcionado o que hayan recopilado a partir del uso que haya hecho de sus servicios. Al hacer clic en ""PERMITIR TODAS LAS COOKIES"", acepta nuestra Política de cookies y privacidad ."
Necessary,Necesario
Preferences,Preferencias
Statistics,Estadística
Marketing,Marketing
Fresh & radiant. Smooth & soft. Firm & healthy.,El LUNATM más suave y potente jamás creado
Swedish facial cleanse with clinically proven results.,La forma más higiénica de limpiar tu piel.
"Meet cutting-edge technology that’s designed to give you a deep in-pore cleanse. Remove 99% of dirt, oil and makeup residue. Boost circulation and collagen. Promote lymphatic drainage. Reduce puffiness. Improve absorption of active ingredients. And enjoy skin firming T-Sonic™ massages with your LUNA™ 4.","¿Sabías que tu piel acumula más de 4 kilos de suciedad y células muertas de la piel en un año? Limpiar tu piel con las manos es mucho menos eficaz de lo que piensas. Por eso hemos creado un dispositivo de limpieza facial 2 en 1 que elimina el 99% de suciedad, grasa y restos de maquillaje, y lo hemos probado clínicamente."
Say goodbye to ineffective skincare routines and embrace the award-winning LUNA™ 4 brush for the softest deep cleanse of your life.,"Te ofrece una limpieza personalizada basada en el tipo de piel y las zonas con problemas. Además, reafirma tu piel con masajes guiados que tonifican zonas específicas de tu rostro y cuello. Suave. Eficaz. Indispensable."
Real results,Resultados reales
Clinically proven,Clínicamente probado
"LUNATM 4 uses T-SonicTM pulsations and velvety-soft silicone touchpoints to remove impurities trapped deep within pores. It is clinically proven to remove 99% of dirt, oil, and makeup residue, and is 35x more hygienic than brushes with nylon bristles.","LUNATM 4 usa pulsaciones T-SonicTM y suaves filamentos de silicona para eliminar las impurezas que obstruyen los poros. Ha sido probado clínicamente que elimina el 99% de la suciedad, grasa y restos de maquillaje, y es 35 veces más higiénico que los cepillos con filamentos de nylon."
Tailored cleansing,Limpieza personalizada
"3 brush types - for balanced, sensitive or combination skin. Gentle, Regular & Deep cleanse modes - for different areas of the face & neck. 16 adjustable T-SonicTM pulsation intensities. 100% of users report more refreshed & radiant skin.","3 tipos de cepillo - para piel normal, sensible o mixta. Modos de limpieza suave, normal o profundo, para las diferentes zonas de tu rostro y cuello. 16 intensidades de pulsaciones T-SonicTM . El 100% de usuarios declaró sentir la piel más fresca y radiante."
Firming massages,Masajes reafirmantes
"Guided firming massages help reduce fine lines & sagging, relax facial & neck muscle tension points, and improve lymphatic drainage - targeting visible signs of aging. 86% of users report skin looks & feels firmer and more elastic.","Con masajes reafirmantes guiados que reducen las líneas de expresión y la flacidez, relajan los puntos de tensión muscular del rostro y el cuello, y mejoran el drenaje linfático combatiendo los signos visibles de envejecimiento. El 86% de los usuarios declararon sentir la piel más firme y elástica."
Flawless prep,Preparación perfecta
"The best way to prep skin, for a more effective skincare routine. LUNATM 4 enables active ingredients in your creams, serums, and masks to penetrate deep into skin, where they work best. 98% of users experience better absorption of skincare products.","La mejor forma de preparar la piel, para una rutina de cuidado facial más eficaz. LUNATM 4 permite que los ingredientes activos de tus cremas, serums y mascarillas penetren profundamente en la piel. El 98% de usuarios declaró sentir una mejor absorción de los productos de cuidado facial."
Reduce blemishes,Reduce las imperfecciones
"Made of ultra-hygienic silicone, LUNATM 4 is bacteria-resistant to reduce breakouts. It also gently exfoliates skin, removing dead skin cells to reveal fresh healthy skin below. 96% of users report healthier-looking skin, while 81% report reduced appearance of blemishes.","Fabricado con silicona ultrahigiénica, LUNATM 4 es resistente a las bacterias para reducir las imperfecciones. Exfolia la piel y elimina las células muertas para revelar una piel fresca y radiante. El 96% de los usuarios declaró sentir la piel más sana, y el 81% una reducción de imperfecciones."
Upgraded design,Diseño mejorado
"The most gentle LUNATM yet, it’s made of 17% softer silicone touchpoints that glide even more effortlessly across skin to preserve its natural elasticity. It also features a new travel-lock function, 3 cleansing modes, and 5 massage patterns.","El LUNATM más agradable jamás creado, fabricado con filamentos de silicona 17% más suaves que se deslizan sin esfuerzo sobre la piel para preservar su elasticidad natural. También incluye una nueva función de bloqueo, 3 modos de limpieza y 5 tipos de masaje."
Clinically proven,Clínicamente probado
"LUNATM 4 uses T-SonicTM pulsations and velvety-soft silicone touchpoints to remove impurities trapped deep within pores. It is clinically proven to remove 99% of dirt, oil, and makeup residue, and is 35x more hygienic than brushes with nylon bristles.","LUNATM 4 usa pulsaciones T-SonicTM y suaves filamentos de silicona para eliminar las impurezas que obstruyen los poros. Ha sido probado clínicamente que elimina el 99% de la suciedad, grasa y restos de maquillaje, y es 35 veces más higiénico que los cepillos con filamentos de nylon."
Tailored cleansing,Limpieza personalizada
"3 brush types - for balanced, sensitive or combination skin. Gentle, Regular & Deep cleanse modes - for different areas of the face & neck. 16 adjustable T-SonicTM pulsation intensities. 100% of users report more refreshed & radiant skin.","3 tipos de cepillo - para piel normal, sensible o mixta. Modos de limpieza suave, normal o profundo, para las diferentes zonas de tu rostro y cuello. 16 intensidades de pulsaciones T-SonicTM . El 100% de usuarios declaró sentir la piel más fresca y radiante."
Firming massages,Masajes reafirmantes
"Guided firming massages help reduce fine lines & sagging, relax facial & neck muscle tension points, and improve lymphatic drainage - targeting visible signs of aging. 86% of users report skin looks & feels firmer and more elastic.","Con masajes reafirmantes guiados que reducen las líneas de expresión y la flacidez, relajan los puntos de tensión muscular del rostro y el cuello, y mejoran el drenaje linfático combatiendo los signos visibles de envejecimiento. El 86% de los usuarios declararon sentir la piel más firme y elástica."
Flawless prep,Preparación perfecta
"The best way to prep skin, for a more effective skincare routine. LUNATM 4 enables active ingredients in your creams, serums, and masks to penetrate deep into skin, where they work best. 98% of users experience better absorption of skincare products.","La mejor forma de preparar la piel, para una rutina de cuidado facial más eficaz. LUNATM 4 permite que los ingredientes activos de tus cremas, serums y mascarillas penetren profundamente en la piel. El 98% de usuarios declaró sentir una mejor absorción de los productos de cuidado facial."
Reduce blemishes,Reduce las imperfecciones
"Made of ultra-hygienic silicone, LUNATM 4 is bacteria-resistant to reduce breakouts. It also gently exfoliates skin, removing dead skin cells to reveal fresh healthy skin below. 96% of users report healthier-looking skin, while 81% report reduced appearance of blemishes.","Fabricado con silicona ultrahigiénica, LUNATM 4 es resistente a las bacterias para reducir las imperfecciones. Exfolia la piel y elimina las células muertas para revelar una piel fresca y radiante. El 96% de los usuarios declaró sentir la piel más sana, y el 81% una reducción de imperfecciones."
Upgraded design,Diseño mejorado
"The most gentle LUNATM yet, it’s made of 17% softer silicone touchpoints that glide even more effortlessly across skin to preserve its natural elasticity. It also features a new travel-lock function, 3 cleansing modes, and 5 massage patterns.","El LUNATM más agradable jamás creado, fabricado con filamentos de silicona 17% más suaves que se deslizan sin esfuerzo sobre la piel para preservar su elasticidad natural. También incluye una nueva función de bloqueo, 3 modos de limpieza y 5 tipos de masaje."
Clinical-consumer results,Resultados clínicos
"Clinically proven to remove 99% of dirt, oil & makeup residue.","Clínicamente eliminan el 99% de suciedad, grasa y restos de maquillaje."
Clinically proven to remove,Clínicamente eliminan el
99%,99%
"of dirt, oil & makeup residue.","de suciedad, grasa y restos de maquillaje."
100% of users report more refreshed and radiant skin.,El 100% de usuarios declaró sentir la piel más fresca y radiante.
100%,El 100%
