english,spanish
This website uses cookies,Esta página web usa cookies
"We use cookies to personalise content and ads, to provide social media features and to analyse our traffic. We also share information about your use of our site with our social media, advertising and analytics partners who may combine it with other information that you’ve provided to them or that they’ve collected from your use of their services. By clicking ""ALLOW ALL COOKIES"" you consent to our Cookie Policy and Privacy Policy .","Las cookies de este sitio web se usan para personalizar el contenido y los anuncios, ofrecer funciones de redes sociales y analizar el tráfico. Además, compartimos información sobre el uso que haga del sitio web con nuestros partners de redes sociales, publicidad y análisis web, quienes pueden combinarla con otra información que les haya proporcionado o que hayan recopilado a partir del uso que haya hecho de sus servicios. Al hacer clic en ""PERMITIR TODAS LAS COOKIES"", acepta nuestra Política de cookies y privacidad ."
Necessary,Necesario
Preferences,Preferencias
Statistics,Estadística
Marketing,Marketing
Cleanse & refresh on-the-go,Pie limpia y fresca estés donde estés
Your travel-friendly skincare essential.,Cuidado de la piel en el gimnasio o de viaje
"LUNA™ 4's little sister - perfect for the times when you really need to cleanse your skin while out and about — after sweating at the gym, sleeping on a flight, or lying on the beach.","Toma el control del estado de tu piel incluso en los días más ajetreados. LUNATM 4 go es el hermano pequeño de LUNATM 4, y ha sido probado clínicamente que elimina el 99% de suciedad, grasa y restos de maquillaje. Es perfecto para esos momentos en los que necesitas limpiar tu piel fuera de casa - después de sudar en el gimnasio, dormir en un vuelo o descansar en la playa."
"Effortless 1-min facial cleanse? Check. Targeted firming facial massage? Check. Light, compact, and travel-friendly? Check. Fresh, healthy-looking radiance? You know it!","¡Limpieza facial de 1 minuto sin esfuerzo? Sí. ¿Masaje facial reafirmante y preciso? Sí. ¿Ligero, compacto y fácil de transportar? Sí. ¿Piel fresca, sana y luminosa? ¡Por supuesto!"
Real results,Resultados reales
Clinically proven,Clínicamente probado
"LUNATM 4 go uses T-SonicTM pulsations and velvety-soft silicone touchpoints to remove impurities trapped deep within pores. It is clinically proven to remove 99% of dirt, oil, and makeup residue, and is 35x more hygienic than brushes with nylon bristles.","LUNATM 4 go usa pulsaciones T-SonicTM y filamentos de silicona suave como la seda para eliminar las impurezas que obstruyen los poros. Ha sido probado clínicamente que elimina el 99% de suciedad, grasa y restos de maquillaje. Además, es 35 veces más higiénico que los cepillos con filamentos de nylon."
Travel-friendly,Ideal para llevar de viaje
"Upgraded to up to 300 uses per charge, so you don’t have to worry about running out of battery mid-trip. LUNA™ 4 go also features a new travel-lock option. Now larger in size, it's still the most compact of the LUNATM 4 collection.","Actualizado con hasta 300 usos por carga, para que no tengas que preocuparte de quedarte sin batería en la mitad de tu viaje. LUNATM go también incluye una función de bloqueo de viaje. Más grande que su versión anterior, sigue siendo el dispositivo más compacto de la colección LUNATM 4."
Firming massage,Masaje reafirmante
"Flip your device over for a firming massage that uses low-frequency pulsations to improve lymphatic drainage, and help reduce fine lines & sagging. 86% of users report skin looks & feels firmer and more elastic.",Usa la parte posterior del dispositivo para disfrutar de un masaje reafirmante que usa pulsaciones a baja frecuencia para mejorar el drenaje linfático y reducir las líneas de expresión y la flacidez de la piel. El 86% de usuarios declaró sentir la piel más firme y elástica.
Healthy complexion,Piel más sana
"Bacteria-resistant to reduce breakouts. It also gently exfoliates the skin, removing dead skin cells to reveal fresh healthy skin below. 96% of users report healthier-looking skin, while 81% report reduced appearance of blemishes.","Resistente a las bacterias para reducir las imperfecciones. Exfolia y limpia las células muertas de la piel para revelar una piel fresca y sana. El 96% de usuarios declaró sentir la piel más sana, y el 81% declaró una reducción en la aparición de imperfecciones."
Flawless prep,Preparación perfecta
"Prep your skin for the most effective skincare routine. LUNATM 4 go enables the active ingredients in your creams, serums, and masks to penetrate deep into the skin, where they work best. 98% of users report better absorption of skincare products.","Prepara tu piel para la rutina de cuidado facial más eficaz. LUNATM 4 go ayuda a que los ingredientes de tus cremas, serums y mascarillas penetren profundamente en la piel. El 98% de usuarios declaró una mejor absorción de los productos de cuidado facial."
Upgraded design,Diseño mejorado
"38% softer than its predecessor, upgraded to up to 300 uses per USB charge, with 8 intensities which you can adjust with the + and - buttons on the device. It also has a new travel-lock feature and a universal brush head for all skin types.","38% más suave que su predecesor, mejorado con hasta 300 usos por carga USB y 8 intensidades que puedes ajustar con los botones + y - del dispositivo. También incluye un nuevo bloqueo de viaje y un cabezal para todo tipo de pieles."
Clinically proven,Clínicamente probado
"LUNATM 4 go uses T-SonicTM pulsations and velvety-soft silicone touchpoints to remove impurities trapped deep within pores. It is clinically proven to remove 99% of dirt, oil, and makeup residue, and is 35x more hygienic than brushes with nylon bristles.","LUNATM 4 go usa pulsaciones T-SonicTM y filamentos de silicona suave como la seda para eliminar las impurezas que obstruyen los poros. Ha sido probado clínicamente que elimina el 99% de suciedad, grasa y restos de maquillaje. Además, es 35 veces más higiénico que los cepillos con filamentos de nylon."
Travel-friendly,Ideal para llevar de viaje
"Upgraded to up to 300 uses per charge, so you don’t have to worry about running out of battery mid-trip. LUNATM 4 go also features a new travel-lock option. Now larger in size, it's still the most compact of the LUNATM 4 collection.","Actualizado con hasta 300 usos por carga, para que no tengas que preocuparte de quedarte sin batería en la mitad de tu viaje. LUNATM go también incluye una función de bloqueo de viaje. Más grande que su versión anterior, sigue siendo el dispositivo más compacto de la colección LUNATM 4."
Firming massage,Masaje reafirmante
"Flip your device over for a firming massage that uses low-frequency pulsations to improve lymphatic drainage, and help reduce fine lines & sagging. 86% of users report skin looks & feels firmer and more elastic.",Usa la parte posterior del dispositivo para disfrutar de un masaje reafirmante que usa pulsaciones a baja frecuencia para mejorar el drenaje linfático y reducir las líneas de expresión y la flacidez de la piel. El 86% de usuarios declaró sentir la piel más firme y elástica.
Healthy complexion,Piel más sana
"Bacteria-resistant to reduce breakouts. It also gently exfoliates skin, removing dead skin cells to reveal fresh healthy skin below. 96% of users report healthier-looking skin, while 81% report reduced appearance of blemishes.","Resistente a las bacterias para reducir las imperfecciones. Exfolia y limpia las células muertas de la piel para revelar una piel fresca y sana. El 96% de usuarios declaró sentir la piel más sana, y el 81% declaró una reducción en la aparición de imperfecciones."
Flawless prep,Preparación perfecta
"Prep your skin for the most effective skincare routine. LUNATM 4 go enables the active ingredients in your creams, serums, and masks to penetrate deep into skin, where they work best. 98% of users report better absorption of skincare products.","Prepara tu piel para la rutina de cuidado facial más eficaz. LUNATM 4 go ayuda a que los ingredientes de tus cremas, serums y mascarillas penetren profundamente en la piel. El 98% de usuarios declaró una mejor absorción de los productos de cuidado facial."
Upgraded design,Diseño mejorado
"38% softer than its predecessor, upgraded to up to 300 uses per USB charge, with 8 intensities which you can adjust with the + and - buttons on the device. It also has a new travel-lock feature, and a universal brush head for all skin types.","38% más suave que su predecesor, mejorado con hasta 300 usos por carga USB y 8 intensidades que puedes ajustar con los botones + y - del dispositivo. También incluye un nuevo bloqueo de viaje y un cabezal para todo tipo de pieles."
Clinical-consumer results,Resultados clínicos
"Clinically proven to remove 99% of dirt, oil & makeup residue.","Clínicamente eliminan el 99% de suciedad, grasa y restos de maquillaje."
Clinically proven to remove,Clínicamente eliminan el
99%,99%
"of dirt, oil & makeup residue.","de suciedad, grasa y restos de maquillaje."
100% of users report more refreshed and radiant skin.,El 100% declaró sentir la piel más fresca y radiante.
100%,El 100%
of users report more refreshed and radiant skin.,declaró sentir la piel más fresca y radiante.
98% of users report better absorption of skincare products.,El 98% declaró sentir una mayor absorción de los productos de cuidado facial.
98%,El 98%
of users report better absorption of skincare products.,declaró sentir una mayor absorción de los productos de cuidado facial.
96% of users report healthier-looking skin.,El 96% declaró sentir la piel más sana.
96%,El 96%
of users report healthier-looking skin.,declaró sentir la piel más sana.
