english,spanish,gemma3:4b-it-qat,endpoint,score
Highest price,Precio descendente,Mayor precio,bestsellers,0.6151
Sensitive Skin,Sensitive Skin,Piel sensible,bestsellers,0.6763
Best-selling 2-in-1 smart facial cleansing & firming device.,Dispositivo limpiador y reafirmante facial 2 en 1 más vendido.,Dispositivo inteligente de limpieza facial y reafirmante de venta más alta.,bestsellers,0.742
Combination Skin,Combination Skin,Piel mixta,bestsellers,0.7372
Like an iron for your wrinkles. Clinically proven to reduce wrinkles in just 1 week.,Clínicamente probado para reducir las arrugas en sólo 1 semana.,Como un hierro para tus arrugas. Clínicamente probado para reducir las arrugas en solo 1 semana.,bestsellers,0.6924
"Snatched skin anytime, anywhere with this travel-ready microcurrent device.",Piel deslumbrante en cualquier momento y lugar.,Piel arrebatada en cualquier momento y lugar con este dispositivo microcorriente listo para viajar.,bestsellers,0.4517
My orders,Mis pedidos,Mis órdenes,bestsellers,0.5639
GET THE CODE,CONSÍGUE EL CÓDIGO,OBTÉN EL CÓDIGO,bestsellers,0.6617
Popular Special offers Bestsellers Red light therapy,Popular Sorpresas especiales Superventas Terapia de luz roja,"Ofertas especiales populares, bestsellers, terapia de luz roja",bestsellers,0.7277
Bestsellers,Superventas,Bestsellers,bestsellers,0.7567
