english,spanish,endpoint
This website uses cookies,Esta página web usa cookies,index
"We use cookies to personalise content and ads, to provide social media features and to analyse our traffic. We also share information about your use of our site with our social media, advertising and analytics partners who may combine it with other information that you’ve provided to them or that they’ve collected from your use of their services. By clicking ""ALLOW ALL COOKIES"" you consent to our Cookie Policy and Privacy Policy .","Las cookies de este sitio web se usan para personalizar el contenido y los anuncios, ofrecer funciones de redes sociales y analizar el tráfico. Además, compartimos información sobre el uso que haga del sitio web con nuestros partners de redes sociales, publicidad y análisis web, quienes pueden combinarla con otra información que les haya proporcionado o que hayan recopilado a partir del uso que haya hecho de sus servicios. Al hacer clic en ""PERMITIR TODAS LAS COOKIES"", acepta nuestra Política de cookies y privacidad .",index
Necessary,Necesario,index
Preferences,Preferencias,index
Statistics,Estadística,index
Marketing,Marketing,index
The Icon. Perfected.,Tenemos un GRAN SECRETO que contarte.,index
Unlock the SECRET OFFERS first.,"Toda la fuerza del sol para cuidar tu piel, en un solo dispositivo",index
The power of healing sunlight in a device,365 días de poder imparable,index
365 days of unstoppable power,COSMÉTICOS,index
SKINCARE,COSMÉTICOS,index
SKINCARE,SUPERCHARGED™ Serum 2.0,index
SUPERCHARGED™ Serum 2.0,FAQ™ Sérum probiótico para cabello y cuero cabelludo,index
FAQ™ Scalp Recovery & Thick Hair Probiotic Serum,IRIS™ Hydrating Hydrogel Eye Mask,index
IRIS™ Hydrating Hydrogel Eye Mask,FAQ™ P1,index
FAQ™ P1,Esto es más que cuidado de la piel: es un accesorio único.,index
More than skincare. A statement piece.,Rutinas suecas de belleza,index
SWEDISH BEAUTY ROUTINES,Rutinas suecas de belleza,index
SWEDISH BEAUTY ROUTINES,Reinventa tu rutina en tres pasos profesionales,index
3 steps for a face that can face anything,"Deja a tu piel respirar, tonifícala de forma natural, y dale luminosidad gracias a las luces LED y al ritual con mascarilla facial. Disfruta de resultados profesionales sin importar donde estés. Es tan sencillo como leer la rutina de 6 minutos recomendada por Vogue.",index
"Your skin wants to breathe. To glow. To be firm. The good news is: getting pro-level results is now easier than ever. You can do it anytime, anywhere. Effortlessly. So forget about spending at least an hour at a beauty salon. Check out these 4 products used for a 6-minute routine recommended by Vogue.",LUNATM Paso 1 Limpieza facial,index
LUNATM Step 1 Facial Cleanse,BEARTM Paso 2 Lifting facial,index
BEARTM Step 2 Facelift,UFOTM Paso 3 Hidrátate,index
UFOTM Step 3 Hydrate,ISSATM Paso 3 1/2 Sonríe,index
ISSATM Step 3 1/2 Smile,Reafirma. Rejuvenece. Repara.,index
Near infrared & red light therapy LED face mask,LAS CELEBRITIES LO ADORAN,index
LOVED BY CELEBRITIES,LAS CELEBRITIES LO ADORAN,index
LOVED BY CELEBRITIES,"...cuando uso LUNA™ mini 2 con mi limpiador facial antes de ducharme estimulo la circulación sanguínea de mi piel, y lo cierto es que me ayuda a comenzar bien el día.",index
"...when I use the LUNA™ mini 2 and put on my cleanser, before I even take a shower, it just brings the blood supply to my skin, and you know...it just helps everything settle faster in the morning.","Creo que uno de los mayores beneficios es que sólo requiere 90 segundos de uso. Hoy en día todo el mundo tiene prisa, y si pudiéramos disfrutar de una mascarilla todos los días lo haríamos. UFO™ lo hace realmente posible.",index
"I think probably one of the hugest benefits is that this only takes 90 seconds. Everyone is always in a rush these days, and I think if we could all mask in the morning we would – the UFO™ definitely makes that possible.","Cuando siento mis ojos hinchados, uso el masajeador FOREO IRIS™ . Este masajeador imita el masaje de presión tradicional asiático utilizado en el cuidado de la piel. Parece un vibrador, así que lo puedes considerar un 'vibrador para los ojos'.",index
"When my eyes get puffy, I pull out my FOREO IRIS™ massager — it mimics the tapping used in traditional Asian skin care. It looks like a vibrator, so I call it my 'eyebrator.'",¡Es literalmente como una visita al spa! UFO™ 2 se siente como si recibieras un masaje y es muy hidratante.,index
Feels like I am literally at the spa! UFO™ 2 makes you feel like you are having a massage & it's so nourishing.,Limpio mi rostro todos los días con el limpiador Kora Organics y con FOREO LUNA™ mini 2 Pink para una limpieza facial profunda.,index
"Every day, I wash my face using the Kora Organics Cream Cleanser and the FOREO LUNA™ mini 2 Pink, for an extra deep cleanse.","Sólo necesitas 90 segundos para que tu piel luzca y se sienta fenomenal, con exactamente el mismo efecto que una visita a un spa de lujo.",index
