english,spanish
This website uses cookies,Esta página web usa cookies
"We use cookies to personalise content and ads, to provide social media features and to analyse our traffic. We also share information about your use of our site with our social media, advertising and analytics partners who may combine it with other information that you’ve provided to them or that they’ve collected from your use of their services. By clicking ""ALLOW ALL COOKIES"" you consent to our Cookie Policy and Privacy Policy .","Las cookies de este sitio web se usan para personalizar el contenido y los anuncios, ofrecer funciones de redes sociales y analizar el tráfico. Además, compartimos información sobre el uso que haga del sitio web con nuestros partners de redes sociales, publicidad y análisis web, quienes pueden combinarla con otra información que les haya proporcionado o que hayan recopilado a partir del uso que haya hecho de sus servicios. Al hacer clic en ""PERMITIR TODAS LAS COOKIES"", acepta nuestra Política de cookies y privacidad ."
Necessary,Necesario
Preferences,Preferencias
Statistics,Estadística
Marketing,Marketing
Deep cleanse. Smooth shave. Firm skin.,Limpieza profunda. Piel firme. Afeitado suave.
"Skincare smarter, not harder.",Limpieza facial inteligente para piel y barba
"Remove 99% of dirt, oil and sweat. Prevent breakouts. Eliminate razor burn. Take your facial cleansing routine to a pro level. Designed for expert care of thicker and oilier male skin, LUNA™ 4 MEN cleanses the face and conditions the beard for the smoothest shave of your life.","Tu piel acumula más de 4 kilos de suciedad y células muertas de la piel en un año. Limpiar tu rostro con las manos no es tan eficaz como piensas. Por eso, hemos creado un dispositivo de limpieza facial 2 en 1 que elimina el 99% de suciedad y grasa de la piel y el vello facial, y lo hemos probado clínicamente."
"Flip the device over to energize your skin with an invigorating T-Sonic™ firming massage - for a toned, chiseled game face every single day.","Te ofrece una limpieza personalizada basada en el tipo de piel y las zonas con problemas. Reafirma la piel con masajes guiados que tonifican zonas específicas del rostro y el cuello. Además, prepara la piel para el afeitado. Un dispositivo esencial para el cuidado facial para los hombres con un estilo de vida activo."
Real results,Resultados reales
Clinically proven,Clínicamente probado
"LUNATM 4 MEN uses T-SonicTM pulsations and velvety-soft silicone touchpoints to remove daily grime trapped deep within pores. It is clinically proven to remove 99% of dirt and oil, and is 35x more hygienic than brushes with nylon bristles.","LUNATM 4 MEN usa pulsaciones T-SonicTM y suaves filamentos de silicona para eliminar las impurezas que obstruyen los poros. Ha sido probado clínicamente que elimina el 99% de la suciedad y grasa, y es 35 veces más higiénico que los cepillos con filamentos de nylon."
Customizable cleanse,Basado en ensayos clínicos de terceros
"Gentle, Regular & Deep cleanse modes - for different areas of the face & neck. 16 adjustable T-SonicTM pulsation intensities. 100% of users report skin feels better after cleansing with LUNATM , compared to cleansing by hand.",Limpieza personalizable
Smoother shave,"Modos de limpieza Suave, Normal y Profundo, para las diferentes zonas de tu rostro y cuello. 16 intensidades de pulsaciones T-SonicTM . El 100% de usuarios declaró sentir la piel mejor con LUNATM que al limpiarla con las manos."
"Prep your face and neck before you shave. 97% of users report softer skin and a smoother shave. 90% report a closer shave, less razor burn, and longer lasting razor blades.",Basado en pruebas de uso de terceros
Firming massages,Afeitado más suave
"Guided firming massages help reduce fine lines & sagging, relax facial & neck muscle tension points, and improve lymphatic drainage - targeting visible signs of aging. 91% of users report firmer and more elastic skin.","Prepara tu rostro y cuello antes del afeitado. El 97% de usuarios declaró sentir la piel lisa y el afeitado más suave. El 90% declaró sentir el afeitado más apurado, menos irritación y una mayor duración de las cuchillas."
Reduce blemishes,Masajes reafirmantes
"LUNATM 4 MEN is bacteria-resistant to reduce breakouts. It also gently exfoliates skin - meaning clogged pores, breakouts and ingrown hairs are a thing of the past. 91% of users report healthier-looking skin.","Con masajes reafirmantes guiados que reducen las líneas de expresión y la flacidez, relajan los puntos de tensión muscular del rostro y el cuello, y mejoran el drenaje linfático combatiendo los signos visibles de envejecimiento. El 91% de los usuarios declaró sentir la piel más firme y elástica."
Upgraded design,Reduce las imperfecciones
"The most gentle LUNATM MEN yet, it’s made of 17% softer silicone touchpoints that glide even more effortlessly across skin to preserve its natural elasticity. It also features a new travel-lock function, 3 cleansing modes, and 5 massage patterns.","LUNATM 4 MEN es resistente a las bacterias para reducir las imperfecciones. Además, exfolia con suavidad la piel, garantizando que los poros obstruidos, las imperfecciones y los pelos enquistados sean cosa del pasado. El 91% de usuarios declaró sentir la piel más sana."
Clinically proven,Diseño mejorado
"LUNATM 4 MEN uses T-SonicTM pulsations and velvety-soft silicone touchpoints to remove daily grime trapped deep within pores. It is clinically proven to remove 99% of dirt and oil, and is 35x more hygienic than brushes with nylon bristles.","El LUNATM MEN más suave jamás creado, fabricado con filamentos de silicona 17% más suaves que se deslizan sin esfuerzo sobre la piel para preservar su elasticidad natural. También incluye una nueva función de bloqueo de viaje, 3 modos de limpieza y 5 tipos de masaje."
Customizable cleanse,Clínicamente probado
"Gentle, Regular & Deep cleanse modes - for different areas of the face & neck. 16 adjustable T-SonicTM pulsation intensities. 100% of users report skin feels better after cleansing with LUNA™, compared to cleansing by hand.","LUNATM 4 MEN usa pulsaciones T-SonicTM y suaves filamentos de silicona para eliminar las impurezas que obstruyen los poros. Ha sido probado clínicamente que elimina el 99% de la suciedad, grasa y restos de maquillaje, y es 35 veces más higiénico que los cepillos con filamentos de nylon."
Smoother shave,Limpieza personalizable
"Prep your face and neck before you shave. 97% of users report softer skin and a smoother shave. 90% report a closer shave, less razor burn, and longer lasting razor blades.","Modos de limpieza Suave, Normal y Profundo, para las diferentes zonas de tu rostro y cuello. 16 intensidades de pulsaciones T-SonicTM . El 100% de usuarios declaró sentir la piel mejor con LUNATM que al limpiarla con las manos."
Firming massages,Afeitado más suave
"Guided firming massages help reduce fine lines & sagging, relax facial & neck muscle tension points, and improve lymphatic drainage - targeting visible signs of aging. 91% of users report firmer and more elastic skin.","Prepara tu rostro y cuello antes del afeitado. El 97% de usuarios declaró sentir la piel lisa y el afeitado más suave. El 90% declaró sentir el afeitado más apurado, menos irritación y una mayor duración de las cuchillas."
Reduce blemishes,Masajes reafirmantes
"LUNATM 4 MEN is bacteria-resistant to reduce breakouts. It also gently exfoliates skin - meaning clogged pores, breakouts and ingrown hairs are a thing of the past. 91% of users report healthier-looking skin.","Con masajes reafirmantes guiados que reducen las líneas de expresión y la flacidez, relajan los puntos de tensión muscular del rostro y el cuello, y mejoran el drenaje linfático combatiendo los signos visibles de envejecimiento. El 91% de los usuarios declaró sentir la piel más firme y elástica."
Upgraded design,Basado en pruebas de uso de terceros
"The most gentle LUNATM MEN yet, it’s made of 17% softer silicone touchpoints that glide even more effortlessly across skin to preserve its natural elasticity. It also features a new travel-lock function, 3 cleansing modes, and 5 massage patterns.",Reduce las imperfecciones
Clinical-consumer results,"LUNATM 4 MEN es resistente a las bacterias para reducir las imperfecciones. Además, exfolia con suavidad la piel, garantizando que los poros obstruidos, las imperfecciones y los pelos enquistados sean cosa del pasado. El 91% de usuarios declaró sentir la piel más sana."
Clinically proven to remove 99% of dirt and oil.,Diseño mejorado
Clinically proven to remove,"El LUNATM MEN más suave jamás creado, fabricado con filamentos de silicona 17% más suaves que se deslizan sin esfuerzo sobre la piel para preservar su elasticidad natural. También incluye una nueva función de bloqueo de viaje, 3 modos de limpieza y 5 tipos de masaje."
99%,Resultados clínicos
of dirt and oil.,Clínicamente eliminan el 99% de suciedad y grasa.
100% of users report skin feels better after cleansing with LUNATM compared to cleansing by hand.,Clínicamente eliminan el
100%,99%
of users report skin feels better after cleansing with LUNATM compared to cleansing by hand.,de suciedad y grasa.
"97% of users report softer skin, and a smoother shave.",El 100% declaró sentir la piel mejor con LUNA™ que al limpiarla con las manos.
97%,El 100%
"of users report softer skin, and a smoother shave.",declaró sentir la piel mejor con LUNA™ que al limpiarla con las manos.
