english,spanish
This website uses cookies,Esta página web usa cookies
"We use cookies to personalise content and ads, to provide social media features and to analyse our traffic. We also share information about your use of our site with our social media, advertising and analytics partners who may combine it with other information that you’ve provided to them or that they’ve collected from your use of their services. By clicking ""ALLOW ALL COOKIES"" you consent to our Cookie Policy and Privacy Policy .","Las cookies de este sitio web se usan para personalizar el contenido y los anuncios, ofrecer funciones de redes sociales y analizar el tráfico. Además, compartimos información sobre el uso que haga del sitio web con nuestros partners de redes sociales, publicidad y análisis web, quienes pueden combinarla con otra información que les haya proporcionado o que hayan recopilado a partir del uso que haya hecho de sus servicios. Al hacer clic en ""PERMITIR TODAS LAS COOKIES"", acepta nuestra Política de cookies y privacidad ."
Necessary,Necesario
Preferences,Preferencias
Statistics,Estadística
Marketing,Marketing
"Immediate lift, deep cleanse","Reafirmación inmediata, limpieza profunda"
"Original, iconic & unique","Original, icónico y único"
"Cleanse and firm your skin from the comfort of your home with FOREO smart facial cleansing devices. Invest minimal time and get clear skin, youthful glow, and lasting effects. It's never been easier to remove up to 99.5% impurities.","Limpia y reafirma tu piel cómodamente desde tu casa con los dispositivos inteligentes de limpieza facial de FOREO. Invirtiendo un tiempo mínimo conseguirás efectos duraderos para que tu piel luzca limpia y rejuvenecida. Nunca ha sido tan sencillo eliminar el 99,5% de las impurezas."
Featured,Featured
Featured,Featured
Popularity,Popularity
Highest discount,Highest discount
Highest price,Highest price
Lowest price,Lowest price
Sensitive Skin,Sensitive Skin
Sensitive Skin,Sensitive Skin
LUNA™ 4,LUNA™ 4
Best-selling 2-in-1 smart facial cleansing & firming device.,Best-selling 2-in-1 smart facial cleansing & firming device.
Balanced Skin,Balanced Skin
Balanced Skin,Balanced Skin
LUNA™ 4,LUNA™ 4
Best-selling 2-in-1 smart facial cleansing & firming device.,Best-selling 2-in-1 smart facial cleansing & firming device.
Combination Skin,Combination Skin
Combination Skin,Combination Skin
LUNA™ 4,LUNA™ 4
Best-selling 2-in-1 smart facial cleansing & firming device.,Best-selling 2-in-1 smart facial cleansing & firming device.
LUNA™ 4 MEN,LUNA™ 4 MEN
2-in-1 smart facial cleansing & firming for skin & beard.,2-in-1 smart facial cleansing & firming for skin & beard.
Normal Skin,Normal Skin
Normal Skin,Normal Skin
LUNA™ 4 plus,LUNA™ 4 plus
"Near-infrared, red LED cleansing & microcurrent. For aging skin.","Near-infrared, red LED cleansing & microcurrent. For aging skin."
Sensitive Skin,Sensitive Skin
Sensitive Skin,Sensitive Skin
LUNA™ 4 plus,LUNA™ 4 plus
"Near-infrared, red LED cleansing & microcurrent. For aging skin.","Near-infrared, red LED cleansing & microcurrent. For aging skin."
LUNA™ 4 mini,LUNA™ 4 mini
Dual-sided facial cleansing massager.,Dual-sided facial cleansing massager.
LUNA™ 4 mini,LUNA™ 4 mini
Dual-sided facial cleansing massager.,Dual-sided facial cleansing massager.
LUNA™ 4 mini,LUNA™ 4 mini
Dual-sided facial cleansing massager.,Dual-sided facial cleansing massager.
LUNA™ 4 mini,LUNA™ 4 mini
Dual-sided facial cleansing massager.,Dual-sided facial cleansing massager.
LUNA™ 4 go,LUNA™ 4 go
Travel-friendly facial cleansing & massaging device.,Travel-friendly facial cleansing & massaging device.
LUNA™ 4 go,LUNA™ 4 go
Travel-friendly facial cleansing & massaging device.,Travel-friendly facial cleansing & massaging device.
LUNA™ 4 go,LUNA™ 4 go
Travel-friendly facial cleansing & massaging device.,Travel-friendly facial cleansing & massaging device.
LUNA™ 4 go,LUNA™ 4 go
Travel-friendly facial cleansing & massaging device.,Travel-friendly facial cleansing & massaging device.
Combination skin,Combination skin
Combination skin,Combination skin
LUNA™ 3,LUNA™ 3
Soft silicone facial cleansing brush for every skin type.,Soft silicone facial cleansing brush for every skin type.
Sensitive skin,Sensitive skin
Sensitive skin,Sensitive skin
LUNA™ 3 plus,LUNA™ 3 plus
Thermo-facial cleansing brush that lifts your face with microcurrent.,Thermo-facial cleansing brush that lifts your face with microcurrent.
Normal skin,Normal skin
Normal skin,Normal skin
LUNA™ 3 plus,LUNA™ 3 plus
Thermo-facial cleansing brush that lifts your face with microcurrent.,Thermo-facial cleansing brush that lifts your face with microcurrent.
LUNA™ mini 3,LUNA™ mini 3
Compact dual-sided facial cleansing brush for all skin types.,Compact dual-sided facial cleansing brush for all skin types.
LUNA™ mini 3,LUNA™ mini 3
Compact dual-sided facial cleansing brush for all skin types.,Compact dual-sided facial cleansing brush for all skin types.
LUNA™ mini 3,LUNA™ mini 3
Compact dual-sided facial cleansing brush for all skin types.,Compact dual-sided facial cleansing brush for all skin types.
The most gentle cleanse,The most gentle cleanse
Gently expel and lift away impurities from deep within pores.,Gently expel and lift away impurities from deep within pores.
LUNA™ play smart 2,LUNA™ play smart 2
Facial cleansing device with smart skin sensors to create individual routines.,Facial cleansing device with smart skin sensors to create individual routines.
LUNA™ play smart 2,LUNA™ play smart 2
Facial cleansing device with smart skin sensors to create individual routines.,Facial cleansing device with smart skin sensors to create individual routines.
LUNA™ play smart 2,LUNA™ play smart 2
Facial cleansing device with smart skin sensors to create individual routines.,Facial cleansing device with smart skin sensors to create individual routines.
LUNA™ play smart 2,LUNA™ play smart 2
Facial cleansing device with smart skin sensors to create individual routines.,Facial cleansing device with smart skin sensors to create individual routines.
LUNA™ play plus 2,LUNA™ play plus 2
Tiny but mighty facial cleansing brush for skincare on the go.,Tiny but mighty facial cleansing brush for skincare on the go.
LUNA™ play plus 2,LUNA™ play plus 2
Tiny but mighty facial cleansing brush for skincare on the go.,Tiny but mighty facial cleansing brush for skincare on the go.
Didn't find what you are looking for?,Didn't find what you are looking for?
We know you need the right devices to turn your routine into a ritual.,We know you need the right devices to turn your routine into a ritual.
Want to be first to hear about new products?,Want to be first to hear about new products?
Subscribe for updates,Subscribe for updates
Log in User profile My devices My orders My addresses,Iniciar sesión Perfil de usuario Mis dispositivos Mis pedidos Mis direcciones
Log in,Iniciar sesión
User profile,Perfil de usuario
My devices,Mis dispositivos
My orders,Mis pedidos
My addresses,Mis direcciones
BLACK FRIDAY 2025 GET THE CODE,BLACK FRIDAY 2025 CONSÍGUE EL CÓDIGO
GET THE CODE,CONSÍGUE EL CÓDIGO
PRE-ORDER + GIFT FAQ™ 202 plus,RESERVA + REGALO FAQ™ 202 plus
FAQ™ 202 plus,FAQ™ 202 plus
NEW FAQ™ 502,NUEVO FAQ™ 502
FAQ™ 502,FAQ™ 502
Popular Special offers Bestsellers Red light therapy,Popular Sorpresas especiales Superventas Terapia de luz roja
Special offers,Sorpresas especiales
Bestsellers,Superventas
Red light therapy,Terapia de luz roja
