english,spanish
This website uses cookies,Esta página web usa cookies
"We use cookies to personalise content and ads, to provide social media features and to analyse our traffic. We also share information about your use of our site with our social media, advertising and analytics partners who may combine it with other information that you’ve provided to them or that they’ve collected from your use of their services. By clicking ""ALLOW ALL COOKIES"" you consent to our Cookie Policy and Privacy Policy .","Las cookies de este sitio web se usan para personalizar el contenido y los anuncios, ofrecer funciones de redes sociales y analizar el tráfico. Además, compartimos información sobre el uso que haga del sitio web con nuestros partners de redes sociales, publicidad y análisis web, quienes pueden combinarla con otra información que les haya proporcionado o que hayan recopilado a partir del uso que haya hecho de sus servicios. Al hacer clic en ""PERMITIR TODAS LAS COOKIES"", acepta nuestra Política de cookies y privacidad ."
Necessary,Necesario
Preferences,Preferencias
Statistics,Estadística
Marketing,Marketing
Microcurrent & red light therapy,Limpia. Reafirma. Rejuvenece.
Cleanse skin & signs of aging. At the same time.,Limpia la piel y los signos de la edad. Al mismo tiempo.
"Introducing the only facial cleansing device with clinical-grade anti-aging treatments – targeted microcurrent, NIR & red LED light therapy. Clinically proven to remove 99% of dirt, oil & makeup residue, with bacteria-resistant silicone touchpoints & T-SonicTM pulsations.","Te presentamos el único dispositivo de limpieza facial con tratamientos antiedad de nivel clínico, basados en una combinación de microcorrientes y terapia de luz LED. Ha sido probado clínicamente que elimina el 99% de la suciedad, la grasa y los restos de maquillaje, gracias a sus filamentos de silicona resistentes a las bacterias y a las pulsaciones T-Sonic™."
"Indulge in a gentle heated cleanse, while LUNATM 4 plus smooths fine lines & refines the complexion – so your skin looks visibly tighter, firmer & brighter in minutes. Tailor your cleanse based on skin type & problem areas.","Mima tu piel con una agradable limpieza térmica. LUNA™ 4 plus suaviza las líneas de expresión y define tu piel para que luzca con una apariencia más firme y luminosa en minutos. Además, te permite personalizar la limpieza según tu tipo de piel y los problemas de cada zona."
Clinically proven,Clínicamente probado
"LUNATM 4 plus uses T-SonicTM pulsations and velvety-soft silicone touchpoints to remove impurities trapped deep within pores. It is clinically proven to remove 99% of dirt, oil and makeup residue, and is 35x more hygienic than brushes with nylon bristles.","LUNA™ 4 plus usa pulsaciones T-Sonic y filamentos de silicona suaves como la seda para eliminar las impurezas que obstruyen los poros. Ha sido probado clínicamente que elimina el 99% de suciedad, grasa y restos de maquillaje, y es 35 veces más higiénico que los cepillos con filamentos de nylon."
Based on third-party clinical trials,Estimula el colágeno
Boost collagen,"La luz LED ayuda a revertir los signos de la edad, como las manchas solares, y aumenta la producción de colágeno y elastina, restaurando la elasticidad de la piel. El 86% de los usuarios declaró sentir la piel más elástica, y el 98% de los usuarios sintió la piel más luminosa."
"Near-infrared & red LED light helps reverse signs of skin aging like sun spots & dullness, and increases collagen & elastin production - restoring the thickness & elasticity of youthful skin. 86% of users report skin looks & feels more elastic, while 98% of users report more luminous skin.",Resultados reales
Based on third-party consumer trials,Reafirma y rellena
Real results,"Las microcorrientes rellenan y reafirman la piel de forma natural, suavizando la apariencia de las líneas de expresión. El 90% de los usuarios declaró sentir la piel más joven y sana. Accede a tratamientos guiados desde la aplicación para combatir los diferentes problemas de tu rostro y cuello."
Firm & plump,Aumenta la luminosidad
"Microcurrent naturally plumps and firms the skin, while smoothing the appearance of fine lines. With a device featuring red light & microcurrent, 90% of users report skin looks younger & healthier. Access guided treatments to target different problem areas of the face & neck, via the app.","Las pulsaciones T-Sonic™ masajean suavemente la piel para eliminar las células cutáneas muertas y potenciar la microcirculación, canalizando los nutrientes. Además, eliminan las toxinas y estimulan el drenaje linfático. El 98% de los usuarios declaró sentir la piel más suave, luminosa y uniforme."
Based on third-party consumer trials,Preparación perfecta
Increase radiance,"LUNA™ 4 plus te ayuda a preparar lo mejor posible tu piel, por la mañana o por la noche. Permite que los ingredientes activos de tus cremas, serums y mascarillas penetren profundamente en la piel. El 98% de los usuarios declaró sentir una mejor absorción de sus productos de cuidado facial."
"T-SonicTM pulsations gently massage the skin to remove dead skin cells & boost microcirculation – delivering nutrients to skin cells & eliminating toxins, while encouraging lymphatic drainage. 98% of users report skin is brighter, smoother & softer.",Diseño inteligente sueco
Based on third-party consumer trials,"El LUNA™ más agradable hasta la fecha, ahora un 17% más suave. Te ofrece rutinas personalizadas para tu piel con 3 modos de limpieza, patrones de masaje ajustables y 16 intensidades. El 100% de usuarios declaró sentir mejor la piel con LUNA™, en comparación con la limpieza a mano."
Flawless prep,Clínicamente probado
"LUNATM 4 plus helps to perfectly prep your skin, morning or night. It enables the active ingredients in your creams, serums & masks to penetrate deeper into skin – where they work best. 98% of users report better absorption of skincare products.","LUNATM 4 plus usa pulsaciones T-SonicTM y filamentos de silicona suaves como la seda para eliminar las impurezas que obstruyen los poros. Ha sido probado clínicamente que elimina el 99% de suciedad, grasa y restos de maquillaje, y es 35 veces más higiénico que los cepillos con filamentos de nylon."
Smart Swedish design,Estimula el colágeno
"17% softer & the most gentle LUNATM yet. Offers perfectly tailored routines with 3 cleanse modes, adjustable massage patterns, and 16 intensities. 100% of users report skin feels better after cleansing with LUNATM , compared to cleansing by hand.","La luz LED ayuda a revertir los signos de la edad, como las manchas solares, y aumenta la producción de colágeno y elastina, restaurando la elasticidad de la piel. El 86% de los usuarios declaró sentir la piel más elástica, y el 98% de los usuarios sintió la piel más luminosa."
Clinically proven,Reafirma y rellena
"LUNATM 4 plus uses T-SonicTM pulsations and velvety-soft silicone touchpoints to remove impurities trapped deep within pores. It is clinically proven to remove 99% of dirt, oil and makeup residue, and is 35x more hygienic than brushes with nylon bristles.","Las microcorrientes rellenan y reafirman la piel de forma natural, suavizando la apariencia de las líneas de expresión. El 90% de los usuarios declaró sentir la piel más joven y sana. Accede a tratamientos guiados desde la aplicación para combatir los diferentes problemas de tu rostro y cuello."
Boost collagen,Aumenta la luminosidad
"Near-infrared & red LED light help reverse signs of skin aging like sun spots & dullness, and increase collagen & elastin production - restoring the thickness & elasticity of youthful skin. 86% of users report skin looks & feels more elastic, while 98% of users report more luminous skin.","Las pulsaciones T-SonicTM masajean suavemente la piel para eliminar las células cutáneas muertas y potenciar la microcirculación, canalizando los nutrientes. Además, eliminan las toxinas y estimulan el drenaje linfático. El 98% de los usuarios declaró sentir la piel más suave, luminosa y uniforme."
Based on third-party consumer trials,Preparación perfecta
Firm & plump,"LUNATM 4 plus te ayuda a preparar lo mejor posible tu piel, por la mañana o por la noche. Permite que los ingredientes activos de tus cremas, serums y mascarillas penetren profundamente en la piel. El 98% de los usuarios declaró sentir una mejor absorción de sus productos de cuidado facial."
"Microcurrent naturally plumps and firms the skin, while smoothing the appearance of fine lines. 90% of users report skin looks younger & healthier. Access guided treatments to target different problem areas of the face & neck, via the app.",Diseño inteligente sueco
Increase radiance,"El LUNATM más agradable hasta la fecha, ahora un 17% más suave. Te ofrece rutinas personalizadas para tu piel con 3 modos de limpieza, patrones de masaje ajustables y 16 intensidades. El 100% de usuarios declaró sentir mejor la piel con LUNATM , en comparación con la limpieza a mano."
"T-SonicTM pulsations gently massage the skin to remove dead skin cells & boost microcirculation – delivering nutrients to skin cells & eliminating toxins, while encouraging lymphatic drainage. 98% of users report skin is brighter, smoother & softer.",Resultados clínicos
Flawless prep,"Elimina el 99% de suciedad, grasa y restos de maquillaje de la piel. Clínicamente probado."
"LUNATM 4 plus helps to perfectly prep your skin, morning or night. It enables the active ingredients in your creams, serums & masks to penetrate deeper into skin – where they work best. 98% of users report better absorption of skincare products.",Elimina el
Smart Swedish design,99%
