english,spanish
This website uses cookies,Esta página web usa cookies
"We use cookies to personalise content and ads, to provide social media features and to analyse our traffic. We also share information about your use of our site with our social media, advertising and analytics partners who may combine it with other information that you’ve provided to them or that they’ve collected from your use of their services. By clicking ""ALLOW ALL COOKIES"" you consent to our Cookie Policy and Privacy Policy .","Las cookies de este sitio web se usan para personalizar el contenido y los anuncios, ofrecer funciones de redes sociales y analizar el tráfico. Además, compartimos información sobre el uso que haga del sitio web con nuestros partners de redes sociales, publicidad y análisis web, quienes pueden combinarla con otra información que les haya proporcionado o que hayan recopilado a partir del uso que haya hecho de sus servicios. Al hacer clic en ""PERMITIR TODAS LAS COOKIES"", acepta nuestra Política de cookies y privacidad ."
Necessary,Necesario
Preferences,Preferencias
Statistics,Estadística
Marketing,Marketing
Anti-Aging LED Face Mask,Máscara Facial LED Antiedad
Pre-order & get two FAQ™ Red Light Peptide Serums.,Reserva ahora y consigue dos FAQ™ Red Light Peptide Serums de regalo.
Near infrared & red light therapy LED face mask,Reafirma. Rejuvenece. Repara.
Reduce wrinkles by 32% in just 2 weeks.,Una nueva generación de máscara LED.
"Ultra-lightweight, wireless, and made with flexi-fit silicone, FAQ™ 202 LED light therapy mask is an entirely new generation of LED mask with red light therapy. Featuring 8 different wavelengths, including near-infrared, this mask boosts collagen and tackles wrinkles, age spots, dullness, uneven tone, and texture. Walk around freely while enjoying the benefits of red light therapy.","Las máscara LED faciales de silicona FAQ™ 200 son ultraligeras, inalámbricas y se adaptan a tu rostro como una segunda piel transparente para cubrirlo de forma uniforme. La terapia LED potencia la producción de colágeno para fortalecer las diferentes capas de la piel, y estimula su proceso de curación natural. Mientras, podrás moverte libremente y seguir con tu día a día."
Experience spa-level LED facial treatments at the push of a button. And combine with FAQ™ 102 for the perfect Swiss Anti-aging routine.,Combina con un dispositivo FAQ™ 100 para la perfecta rutina antiedad suiza.
Red light therapy,Tecnología LED antiedad
Red LED light helps to improve fine lines by stimulating collagen and elastin production - which are essential for maintaining youthfully firm and plump skin.,"Las 8 ondas de luz LED tratan todo tipo de problemas de la piel, como las arrugas, la pigmentación, las imperfecciones o el tono apagado. Descubre a continuación los resultados clínicos."
600 LED light points,Cobertura de luz uniforme
FAQ™ 202 LED light therapy mask spread light evenly across your skin via 600 LED light points - ensuring the LED wavelengths evenly penetrate each millimeter of skin. 100% of users agree.,"La máscara LED FAQ™ 202 distribuye la luz uniformemente por la piel a través de 600 puntos optimizados de luz, lo que garantiza que las ondas LED penetren de forma uniforme en cada milímetro de la piel. El 100% de los usuarios están de acuerdo."
Real results,Resultados reales
100%,100%
of users report FAQ™ 202 fits their face perfectly.,de los usuarios declaró que FAQ™ 202 se adaptó perfectamente a su rostro.
100%,100%
of users would recommend FAQ™ 202 to a friend.,de los usuarios recomendaría FAQ™ 202 a un amigo.
Perfectly fits every face,Se adapta a la perfección a cualquier rostro
"Designed with unique flexi-fit silicone, FAQ™ 202 LED light therapy mask molds to your face like a transparent second skin - so every area of your face receives the same concentration of LED light.","Diseñada con la exclusiva silicona flexi-fit, FAQ™ 202 se adapta a tu rostro como si fuera una segunda piel transparente. De esta forma, toda tu piel recibe la misma concentración de luz LED."
Complete freedom of movement,Libertad completa de movimiento
"Ultra-lightweight, transparent and wireless, with an open eye and mouth design, and soft non-slip headband, FAQ™ 202 LED light therapy mask is unobtrusive and extremely comfortable to move around in while continuing with your day. 100% of users agree.","Ultraligera, inalámbrica y transparente, con abertura para los ojos y la boca y una cinta suave y antideslizante, FAQ™ 202 es una máscara discreta que te permite moverte cómodamente mientras continúas tu día. El 100% de los usuarios está de acuerdo."
Pre-programmed treatments,Tratamientos preprogramados
Get a 5 minute quick-fix or target specific skin concerns with thorough pre-set routines on the FAQ™ Swiss app.,"Disfruta de un tratamiento rápido de 5 minutos, un tratamiento calmante y reparador, o un tratamiento que combate problemas específicos de tu piel con las rutinas prediseñadas de la aplicación FAQ™ Swiss."
Smart Swiss design,Diseño inteligente suizo
"FAQ™ 202 LED light therapy mask is USB rechargeable, ultra-hygienic, non-porous, easy to clean, and quick-drying. It also comes with its own display case.","FAQ™ 202 es una máscara recargable por USB, ultrahigiénica, no porosa y fácil de limpiar y de secar. Incluye un soporte expositor."
Red light therapy,Tecnología LED antiedad
Red LED light helps to improve fine lines by stimulating collagen and elastin production - which are essential for maintaining youthfully firm and plump skin.,"Las 8 ondas de luz LED tratan todo tipo de problemas de la piel, como las arrugas, la pigmentación, las imperfecciones o el tono apagado. Descubre a continuación los resultados clínicos."
600 LED light points,Cobertura de luz uniforme
FAQ™ 202 LED light therapy mask spread light evenly across your skin via 600 LED light points - ensuring the LED wavelengths evenly penetrate each millimeter of skin. 100% of users agree.,"La máscara LED FAQ™ 202 distribuye la luz uniformemente por la piel a través de 600 puntos optimizados de luz, lo que garantiza que las ondas LED penetren de forma uniforme en cada milímetro de la piel. El 100% de los usuarios están de acuerdo."
Perfectly fits every face,Se adapta a la perfección a cualquier rostro
"Designed with unique flexi-fit silicone, FAQ™ 202 LED light therapy mask molds to your face like a transparent second skin - so every area of your face receives the same concentration of LED light.","Diseñada con la exclusiva silicona flexi-fit, FAQ™ 202 se adapta a tu rostro como si fuera una segunda piel transparente. De esta forma, toda tu piel recibe la misma concentración de luz LED."
Complete freedom of movement,Libertad completa de movimiento
"Ultra-lightweight, transparent and wireless, with an open eye and mouth design, and soft non-slip headband, FAQ™ 202 LED light therapy mask is unobtrusive and extremely comfortable to move around in while continuing with your day. 100% of users agree.","Ultraligera, inalámbrica y transparente, con abertura para los ojos y la boca y una cinta suave y antideslizante, FAQ™ 202 es una máscara discreta que te permite moverte cómodamente mientras continúas tu día. El 100% de los usuarios está de acuerdo."
Pre-programmed treatments,Tratamientos preprogramados
Get a 5 minute quick-fix or target specific skin concerns with thorough pre-set routines on the FAQTM Swiss app.,"Disfruta de un tratamiento rápido de 5 minutos, un tratamiento calmante y reparador, o un tratamiento que combate problemas específicos de tu piel con las rutinas prediseñadas de la aplicación FAQ™ Swiss."
Smart Swiss design,Diseño inteligente suizo
"FAQTM 202 LED light therapy mask is USB rechargeable, ultra-hygienic, non-porous, easy to clean, and quick-drying. It also comes with its own display case.","FAQ™ 202 es una máscara recargable por USB, ultrahigiénica, no porosa y fácil de limpiar y de secar. Incluye un soporte expositor."
Clinical results,Resultados clínicos
Reduces wrinkles by 32% in just 2 weeks.,Reduce las arrugas un 32% en sólo 2 semanas.
Reduces wrinkles by,Reduce las arrugas un
32%,32%
in just 2 weeks.,en sólo 2 semanas.
Significantly increases firmness.,Aumenta significativamente la firmeza de la piel.
Significantly,Aumenta significativamente
increases firmness.,la firmeza
Significantly increases elasticity in just 2 weeks.,de la piel.
Significantly,Aumenta significativamente la elasticidad de la piel en sólo 2 semanas.
increases elasticity in just 2 weeks.,Aumenta significativamente
Reduces acne by 48% in just 2 weeks.,la elasticidad
Reduces acne by,de la piel en sólo 2 semanas.
48%,Reduce el acné un 48% en sólo 2 semanas.
in just 2 weeks.,Reduce el acné un
Reduces sebum by 18% in just 2 weeks.,48%
Reduces sebum by,en sólo 2 semanas.
18%,Reduce la producción excesiva de sebo un 18% en tan sólo 2 semanas.
in just 2 weeks.,Reduce la producción excesiva de sebo un
What makes it so powerful,18%
NIR (Near-infrared) LED light (854 nm),en tan sólo 2 semanas.
Intended to stimulate the production of collagen & accelerate the repair of damaged skin cells.,¿Por qué es tan potente?
Red LED light (637 nm),Luz NIR (infrarrojo cercano) (850 nm)
