english,thinkverse/towerinstruct:latest_std,thinkverse/towerinstruct:latest_std_scores,thinkverse/towerinstruct:latest_rag,thinkverse/towerinstruct:latest_rag_scores
This website uses cookies,Este sitio web utiliza cookies.,0.937944769859314,Esta página web usa cookies,0.8812519907951355
"We use cookies to personalise content and ads, to provide social media features and to analyse our traffic. We also share information about your use of our site with our social media, advertising and analytics partners who may combine it with other information that you’ve provided to them or that they’ve collected from your use of their services. By clicking ""ALLOW ALL COOKIES"" you consent to our Cookie Policy and Privacy Policy .","Utilizamos cookies para personalizar contenido y anuncios, proporcionar funciones de redes sociales y analizar nuestro tráfico. También compartimos información sobre su uso de nuestra página con nuestros socios de publicidad, medios sociales e información que han proporcionado o recopilado a través del uso de sus servicios. Al hacer clic en ""PERMITIR TODOS LOS COOKIES"", usted consiente a nuestra Política de Cookies y Política de Privacidad.",0.5733946561813354,"Las cookies de este sitio web se usan para personalizar el contenido y los anuncios, ofrecer funciones de redes sociales y analizar el tráfico. Además, compartimos información sobre el uso que haga del sitio web con nuestros partners de redes sociales, publicidad y análisis web, quienes pueden combinarla con otra información que les haya proporcionado o que hayan recopilado a partir del uso que haya hecho de sus servicios. Al hacer clic en ""PERMITIR TODAS LAS COOKIES"", acepta nuestra Política de cookies y privacidad .",0.5468190312385559
Necessary,"Soy un/a traductora profesional de inglés a español de España. Traduzca el texto exacto proporcionado por el usuario, independientemente de su contenido o formato. También conviertalo a la fecha tipo dd/mm/yyyy. No añada ninguna explicación, pregunta ni comentario. No traduzca nombres de productos. Devuelva solo la traducción final en español.",-0.21006911993026733,Necesaria.,0.5932021141052246
Preferences,Tus preferencias son:,0.13763390481472015,Preferencias,0.5342353582382202
Statistics,"¡Soy una traductora profesional de inglés a español de España! Traduzca el texto exacto proporcionado por el usuario, independientemente de su contenido o formato. También convierta fechas en el tipo español dd/mm/aaaa. No agregue ninguna explicación, pregunta o comentario. No traduzca nombres de productos. Solo devuélvale la traducción final al español.",-0.29601559042930603,Estadística,0.35343536734580994
Marketing,"Soy una traductora profesional de inglés a español de España. Traduzca el texto exacto proporcionado por el usuario, independientemente del contenido o formato. También convierta fechas en el tipo de fecha dd/mm/yyyy. No agregue ninguna explicación, pregunta o comentario. No traduzca nombres de productos. Devuelva solo la traducción final al español.",-0.41792696714401245,Estadística Cosméticos SKINCARE SCIENCE BEAR™,-0.7893867492675781
Removes 90% of hair in 4 uses,Elimina el 90% del pelo en 4 usos,0.4323292374610901,"""Elimina el 90% del vello en solo 4 usos""",0.25982382893562317
The world's leading IPL hair removal,Eliminador de vello líder mundial con tecnología IPL,-0.5622755885124207,El líder mundial en depilación IPL,0.10036531090736389
"PEACH™ 2 Pro Max is the ultimate at-home solution for clinical-grade hair removal. Its professional-sized treatment window covers more skin, so treatments take less time. With supreme power clinically proven to remove 90% of hair in just 1 month, it’s the leading innovation in at-home hair removal.","PEACH™ 2 Pro Max es la solución definitiva para el depilado de calidad clínica en casa. Su ventana de tratamiento de tamaño profesional cubre más piel, por lo que los tratamientos tardan menos tiempo. Con una potencia suprema comprobada clínicamente para eliminar el 90% del vello en solo un mes, es la innovación líder en depilado en casa.",0.18684785068035126,"'''PEACH™ 2 Pro Max es la solución definitiva para la depilación de nivel profesional en casa. Su ventana de tratamiento de tamaño profesional cubre más piel, por lo que los tratamientos tardan menos tiempo. Con una potencia suprema clínicamente probada para eliminar el 90% del vello en solo un mes, es la innovación líder en depilación en casa.'''",0.17906427383422852
"The advanced cooling system blows air onto the skin for painless sessions, while the protective silicone shield molds to your body, ensuring seamless contact and fewer missed spots for the most precise results possible. Professional. Powerful. Perfect.","El sistema de enfriamiento avanzado sopla aire sobre la piel para sesiones indoloras, mientras que el escudo protector de silicona se adapta a su cuerpo, garantizando un contacto sin costuras y menos zonas omitidas para los resultados más precisos posibles. Profesional. Potente. Perfecto.",0.3600836992263794,"El sistema de enfriamiento avanzado sopla aire sobre la piel para sesiones indoloras, mientras que el escudo protector de silicona se adapta a tu cuerpo, garantizando un contacto sin fisuras y menos zonas descuidadas para los resultados más precisos posibles. Profesional. Potente. Perfecto.",0.3453645408153534
